studentID,marks,isPassed
1,85,Yes
2,78,Yes
3,92,Yes
5,95,Yes
6,82,Yes
7,77,Yes
8,88,Yes
10,75,Yes
11,91,Yes
12,87,Yes
13,79,Yes
14,83,Yes
16,72,Yes
17,94,Yes
18,86,Yes
19,81,Yes
20,90,Yes
22,76,Yes
23,89,Yes
25,96,Yes
27,93,Yes
29,74,Yes
30,80,Yes
31,97,Yes
33,84,Yes
34,78,Yes
35,92,Yes
37,76,Yes
38,88,Yes
40,82,Yes
41,95,Yes
43,79,Yes
44,84,Yes
47,91,Yes
48,85,Yes
49,77,Yes
50,90,Yes
52,76,Yes
53,81,Yes
55,78,Yes
56,92,Yes
58,75,Yes
59,87,Yes
62,96,Yes
64,77,Yes
65,89,Yes
67,74,Yes
68,85,Yes
70,76,Yes
71,88,Yes
74,95,Yes
76,78,Yes
77,93,Yes
80,91,Yes
81,84,Yes
82,76,Yes
83,93,Yes
85,79,Yes
86,92,Yes
88,76,Yes
89,89,Yes
92,96,Yes
94,78,Yes
95,88,Yes
97,76,Yes
98,90,Yes
100,77,Yes
